# File: historical_copper_production.csv
# Title: Historical copper production by country
# Units: tonnes
# Source: Our World in Data (https://ourworldindata.org/metals-minerals) which processes data from USGS - Mineral Commodity Summaries (2024); USGS - Historical Statistics for Mineral and Material Commodities (2023)
# Column types: cnn
# ----------
Entity,Year,production
Botswana,1977,11788
Botswana,1978,14615
Botswana,1979,14563
Botswana,1980,15554
Botswana,1981,17815
Botswana,1982,18375
Botswana,1983,20266
Botswana,1984,21517
Botswana,1985,21692
Botswana,1986,21337
Botswana,1987,18934
Botswana,1988,24428
Botswana,1989,23403
Botswana,1990,20612
Botswana,1991,20576
Botswana,1992,20413
Botswana,1993,20132
Botswana,1994,22780
Botswana,1995,20461
Botswana,1996,23299
Botswana,1997,19820
Botswana,1998,22124
Botswana,1999,20960
Botswana,2000,18722
Botswana,2001,19209
Botswana,2002,21590
Botswana,2003,24289
Botswana,2004,21195
Botswana,2005,26704
Botswana,2006,24255
Botswana,2007,19996
Botswana,2008,23146
Botswana,2009,24382
Botswana,2010,48026
Botswana,2011,31929
Botswana,2012,35768
Botswana,2013,48500
Botswana,2014,38000
Botswana,2015,9162
Botswana,2016,12415
Botswana,2017,1239
Botswana,2018,1462
Botswana,2019,0
Botswana,2020,0
Botswana,2021,11742
Botswana,2022,34201
Brazil,1970,3920
Brazil,1971,5418
Brazil,1972,4455
Brazil,1973,3412
Brazil,1974,3075
Brazil,1975,1922
Brazil,1976,54
Brazil,1977,0
Brazil,1978,0
Brazil,1979,0
Brazil,1980,402
Brazil,1981,11777
Brazil,1982,24482
Brazil,1983,32077
Brazil,1984,35212
Brazil,1985,40999
Brazil,1986,40183
Brazil,1987,40332
Brazil,1988,44845
Brazil,1989,47439
Brazil,1990,34441
Brazil,1991,37947
Brazil,1992,39845
Brazil,1993,43568
Brazil,1994,39674
Brazil,1995,48933
Brazil,1996,46203
Brazil,1997,39952
Brazil,1998,34446
Brazil,1999,31371
Brazil,2000,31786
Brazil,2001,32734
Brazil,2002,32711
Brazil,2003,26275
Brazil,2004,103153
Brazil,2005,133325
Brazil,2006,147836
Brazil,2007,205728
Brazil,2008,218295
Brazil,2009,211692
Brazil,2010,213548
Brazil,2011,213760
Brazil,2012,223141
Brazil,2013,270979
Brazil,2014,301197
Brazil,2015,359463
Brazil,2016,337600
Brazil,2017,384542
Brazil,2018,385761
Brazil,2019,363268
Brazil,2020,353258
Brazil,2021,671684
Brazil,2022,297653
Bulgaria,1970,42000
Bulgaria,1971,44400
Bulgaria,1972,46300
Bulgaria,1973,48000
Bulgaria,1974,51600
Bulgaria,1975,55000
Bulgaria,1976,57000
Bulgaria,1977,57000
Bulgaria,1978,57000
Bulgaria,1979,60000
Bulgaria,1980,62000
Bulgaria,1981,62000
Bulgaria,1982,65000
Bulgaria,1983,68000
Bulgaria,1984,73000
Bulgaria,1985,58000
Bulgaria,1986,70000
Bulgaria,1987,54000
Bulgaria,1988,50000
Bulgaria,1989,38800
Bulgaria,1990,32900
Bulgaria,1991,47200
Bulgaria,1992,47400
Bulgaria,1993,60400
Bulgaria,1994,75500
Bulgaria,1995,77400
Bulgaria,1996,84800
Bulgaria,1997,75500
Bulgaria,1998,82500
Bulgaria,1999,87500
Bulgaria,2000,93200
Bulgaria,2001,97100
Bulgaria,2002,84400
Bulgaria,2003,91600
Bulgaria,2004,79600
Bulgaria,2005,112536
Bulgaria,2006,123571
Bulgaria,2007,116157
Bulgaria,2008,107195
Bulgaria,2009,110652
Bulgaria,2010,112904
Bulgaria,2011,114603
Bulgaria,2012,118255
Bulgaria,2013,115149
Bulgaria,2014,108323
Bulgaria,2015,71748
Bulgaria,2016,70573
Bulgaria,2017,73003
Bulgaria,2018,69841
Bulgaria,2019,70927
Bulgaria,2020,70176
Bulgaria,2021,66312
Bulgaria,2022,67000
Canada,1970,610281
Canada,1971,654470
Canada,1972,719672
Canada,1973,823942
Canada,1974,821381
Canada,1975,733826
Canada,1976,730930
Canada,1977,759423
Canada,1978,659380
Canada,1979,636383
Canada,1980,716363
Canada,1981,691328
Canada,1982,612455
Canada,1983,653040
Canada,1984,721826
Canada,1985,738637
Canada,1986,698527
Canada,1987,802181
Canada,1988,776482
Canada,1989,723052
Canada,1990,793735
Canada,1991,811134
Canada,1992,768582
Canada,1993,732591
Canada,1994,616776
Canada,1995,726293
Canada,1996,688426
Canada,1997,659500
Canada,1998,705766
Canada,1999,620085
Canada,2000,633855
Canada,2001,633531
Canada,2002,603498
Canada,2003,557082
Canada,2004,562795
Canada,2005,595383
Canada,2006,603295
Canada,2007,596249
Canada,2008,607957
Canada,2009,484605
Canada,2010,522172
Canada,2011,566779
Canada,2012,580082
Canada,2013,652595
Canada,2014,672729
Canada,2015,714647
Canada,2016,693059
Canada,2017,597194
Canada,2018,548011
Canada,2019,560781
Canada,2020,585000
Canada,2021,550000
Canada,2022,520000
Canada,2023,480000
Chile,1970,685600
Chile,1971,708300
Chile,1972,716900
Chile,1973,735400
Chile,1974,899700
Chile,1975,828300
Chile,1976,1005200
Chile,1977,1056200
Chile,1978,1034200
Chile,1979,1062700
Chile,1980,1067900
Chile,1981,1081100
Chile,1982,1242200
Chile,1983,1257500
Chile,1984,1290700
Chile,1985,1356400
Chile,1986,1401100
Chile,1987,1418100
Chile,1988,1451000
Chile,1989,1609300
Chile,1990,1588400
Chile,1991,1814300
Chile,1992,1932700
Chile,1993,2055400
Chile,1994,2219900
Chile,1995,2488600
Chile,1996,3115800
Chile,1997,3392000
Chile,1998,3686900
Chile,1999,4391200
Chile,2000,4602000
Chile,2001,4739000
Chile,2002,4580600
Chile,2003,4904200
Chile,2004,5412500
Chile,2005,5320500
Chile,2006,5360800
Chile,2007,5557000
Chile,2008,5327600
Chile,2009,5394400
Chile,2010,5418900
Chile,2011,5262800
Chile,2012,5433900
Chile,2013,5776000
Chile,2014,5761100
Chile,2015,5772100
Chile,2016,5552600
Chile,2017,5503500
Chile,2018,5831600
Chile,2019,5787400
Chile,2020,5730000
Chile,2021,5620000
Chile,2022,5330000
Chile,2023,5000000
China,1972,115000
China,1973,120000
China,1974,130000
China,1975,140000
China,1976,150000
China,1977,155000
China,1978,160000
China,1979,160000
China,1980,165000
China,1981,170000
China,1982,175000
China,1983,175000
China,1984,240000
China,1985,270000
China,1986,300000
China,1987,350000
China,1988,370000
China,1989,544000
China,1990,557000
China,1991,304000
China,1992,334300
China,1993,345695
China,1994,395630
China,1995,441900
China,1996,436400
China,1997,495500
China,1998,486800
China,1999,520100
China,2000,592600
China,2001,587000
China,2002,578100
China,2003,614400
China,2004,754200
China,2005,776000
China,2006,889000
China,2007,946200
China,2008,1092700
China,2009,1062000
China,2010,1155800
China,2011,1294700
China,2012,1576800
China,2013,1715150
China,2014,1776794
China,2015,1712065
China,2016,1900188
China,2017,1706400
China,2018,1615234
China,2019,1683700
China,2020,1720000
China,2021,1910000
China,2022,1940000
China,2023,1700000
Colombia,1974,0
Colombia,1975,0
Colombia,1976,260
Colombia,1977,78
Colombia,1978,100
Colombia,1979,336
Colombia,1980,442
Colombia,1981,315
Colombia,1982,113
Colombia,1983,162
Colombia,1984,234
Colombia,1985,0
Colombia,1986,0
Colombia,1994,2581
Colombia,1995,2747
Colombia,1996,2222
Colombia,1997,1800
Colombia,1998,1800
Colombia,1999,2100
Colombia,2000,2018
Colombia,2001,2000
Colombia,2002,1700
Colombia,2003,1500
Colombia,2004,1600
Colombia,2005,1800
Colombia,2006,600
Colombia,2007,840
Colombia,2008,1050
Colombia,2009,1140
Colombia,2010,711
Colombia,2011,808
Colombia,2012,781
Colombia,2013,659
Colombia,2014,4118
Colombia,2015,5463
Colombia,2016,8493
Colombia,2017,9355
Colombia,2018,9918
Colombia,2019,7641
Colombia,2020,9356
Colombia,2021,8195
Colombia,2022,7800
Congo,1970,269
Congo,1971,2070
Congo,1972,5485
Congo,1973,3709
Congo,1974,2100
Congo,1975,918
Congo,1976,408
Congo,1977,1015
Congo,1978,595
Congo,1979,1000
Congo,1980,1300
Congo,1981,245
Congo,1982,100
Congo,1983,100
Congo,1984,0
Congo,1985,100
Congo,1986,700
Congo,1987,320
Congo,1988,520
Cuba,1970,400
Cuba,1971,0
Cuba,1972,1827
Cuba,1973,2107
Cuba,1974,2901
Cuba,1975,2777
Cuba,1976,2898
Cuba,1977,2583
Cuba,1978,2821
Cuba,1979,2840
Cuba,1980,3350
Cuba,1981,2908
Cuba,1982,2674
Cuba,1983,2688
Cuba,1984,2701
Cuba,1985,3076
Cuba,1986,3257
Cuba,1987,3461
Cuba,1988,2951
Cuba,1989,2759
Cuba,1990,2000
Cuba,1991,2000
Cuba,1992,1500
Cuba,1993,2000
Cuba,1994,2000
Cuba,1995,1858
Cuba,1996,2362
Cuba,1997,2208
Cuba,1998,1351
Cuba,1999,1090
Cuba,2000,1346
Cuba,2001,1000
Cyprus,1972,16767
Cyprus,1973,14217
Cyprus,1974,12828
Cyprus,1975,9866
Cyprus,1976,7900
Cyprus,1977,6800
Cyprus,1978,4678
Cyprus,1979,1200
Cyprus,1980,0
Cyprus,1981,259
Cyprus,1982,841
Cyprus,1983,1148
Cyprus,1984,1267
Cyprus,1985,1065
Cyprus,1986,559
Cyprus,1987,97
Cyprus,1988,383
Cyprus,1989,485
Cyprus,1990,472
Cyprus,1991,226
Cyprus,1994,0
Cyprus,1995,0
Cyprus,1996,1700
Cyprus,1997,3900
Cyprus,1998,4908
Cyprus,1999,5006
Cyprus,2000,5200
Cyprus,2001,4600
Cyprus,2002,3700
Cyprus,2003,2500
Cyprus,2004,0
Cyprus,2005,0
Cyprus,2006,900
Cyprus,2007,3012
Cyprus,2008,2986
Cyprus,2009,2380
Cyprus,2010,2595
Cyprus,2011,3660
Cyprus,2012,4328
Cyprus,2013,3631
Cyprus,2014,3088
Cyprus,2015,2121
Cyprus,2016,1754
Cyprus,2017,1293
Cyprus,2018,908
Cyprus,2019,703
Cyprus,2020,0
Cyprus,2021,0
Cyprus,2022,0
Czechoslovakia,1974,10900
Czechoslovakia,1975,10700
Czechoslovakia,1976,8500
Czechoslovakia,1977,7800
Czechoslovakia,1978,8200
Czechoslovakia,1979,9000
Czechoslovakia,1980,11500
Czechoslovakia,1981,9200
Czechoslovakia,1982,9300
Czechoslovakia,1983,9800
Czechoslovakia,1984,10200
Czechoslovakia,1985,10100
Czechoslovakia,1986,4795
Czechoslovakia,1987,4069
Czechoslovakia,1988,3807
Czechoslovakia,1989,3709
Czechoslovakia,1990,2884
Czechoslovakia,1991,1550
Czechoslovakia,1992,1000
Democratic Republic of Congo,1970,385679
Democratic Republic of Congo,1971,407700
Democratic Republic of Congo,1972,438501
Democratic Republic of Congo,1973,488514
Democratic Republic of Congo,1974,499331
Democratic Republic of Congo,1975,464928
Democratic Republic of Congo,1976,443948
Democratic Republic of Congo,1977,452716
Democratic Republic of Congo,1978,472533
Democratic Republic of Congo,1979,401416
Democratic Republic of Congo,1980,462202
Democratic Republic of Congo,1981,506481
Democratic Republic of Congo,1982,505385
Democratic Republic of Congo,1983,504207
Democratic Republic of Congo,1984,500220
Democratic Republic of Congo,1985,504235
Democratic Republic of Congo,1986,502600
Democratic Republic of Congo,1987,501864
Democratic Republic of Congo,1988,505800
Democratic Republic of Congo,1989,442800
Democratic Republic of Congo,1990,352400
Democratic Republic of Congo,1991,236100
Democratic Republic of Congo,1992,144300
Democratic Republic of Congo,1993,60000
Democratic Republic of Congo,1994,40642
Democratic Republic of Congo,1995,34958
Democratic Republic of Congo,1996,40165
Democratic Republic of Congo,1997,39651
Democratic Republic of Congo,1998,38236
Democratic Republic of Congo,1999,33000
Democratic Republic of Congo,2000,33000
Democratic Republic of Congo,2001,37845
Democratic Republic of Congo,2002,27359
Democratic Republic of Congo,2003,16359
Democratic Republic of Congo,2004,18995
Democratic Republic of Congo,2005,97500
Democratic Republic of Congo,2006,142300
Democratic Republic of Congo,2007,144600
Democratic Republic of Congo,2008,239200
Democratic Republic of Congo,2009,299300
Democratic Republic of Congo,2010,378300
Democratic Republic of Congo,2011,499198
Democratic Republic of Congo,2012,619942
Democratic Republic of Congo,2013,922016
Democratic Republic of Congo,2014,1030129
Democratic Republic of Congo,2015,1039007
Democratic Republic of Congo,2016,1023687
Democratic Republic of Congo,2017,1094638
Democratic Republic of Congo,2018,1225227
Democratic Republic of Congo,2019,1420386
Democratic Republic of Congo,2020,1600000
Democratic Republic of Congo,2021,1740000
Democratic Republic of Congo,2022,2350000
Democratic Republic of Congo,2023,2500000
Dominican Republic,2007,0
Dominican Republic,2008,2109
Dominican Republic,2009,12937
Dominican Republic,2010,10015
Dominican Republic,2011,11777
Dominican Republic,2012,11737
Dominican Republic,2013,10379
Dominican Republic,2014,9262
Dominican Republic,2015,7324
Dominican Republic,2016,9725
Dominican Republic,2017,9618
Dominican Republic,2018,8588
Dominican Republic,2019,6047
Dominican Republic,2020,2193
Dominican Republic,2021,4774
Dominican Republic,2022,5360
East Germany,1970,18000
East Germany,1971,15000
East Germany,1972,20000
East Germany,1973,18000
East Germany,1974,18000
East Germany,1975,16500
East Germany,1976,16000
East Germany,1977,17000
East Germany,1978,15000
East Germany,1979,14000
East Germany,1980,11800
East Germany,1981,12000
East Germany,1982,13000
East Germany,1983,12000
East Germany,1984,12000
East Germany,1985,12600
East Germany,1986,11500
East Germany,1987,11112
East Germany,1988,9019
East Germany,1989,7906
East Germany,1990,3564
Ecuador,1970,510
Ecuador,1971,565
Ecuador,1972,438
Ecuador,1973,304
Ecuador,1974,179
Ecuador,1975,239
Ecuador,1976,267
Ecuador,1977,765
Ecuador,1978,508
Ecuador,1979,666
Ecuador,1980,923
Ecuador,1981,825
Ecuador,2009,300
Ecuador,2010,700
Ecuador,2011,1400
Ecuador,2012,1800
Ecuador,2013,4700
Ecuador,2014,3000
Ecuador,2015,1800
Ecuador,2016,2009
Ecuador,2017,410
Ecuador,2018,5500
Ecuador,2019,6300
Ecuador,2020,49700
Ecuador,2021,89200
Ecuador,2022,120000
Eritrea,2009,0
Eritrea,2010,0
Eritrea,2011,0
Eritrea,2012,0
Eritrea,2013,21800
Eritrea,2014,88900
Eritrea,2015,61600
Eritrea,2016,25300
Eritrea,2017,7900
Eritrea,2018,17300
Eritrea,2019,16008
Eritrea,2020,21725
Eritrea,2021,20224
Eritrea,2022,17098
Finland,1970,30900
Finland,1971,28500
Finland,1972,34800
Finland,1973,38213
Finland,1974,36667
Finland,1975,38000
Finland,1976,41700
Finland,1977,52113
Finland,1978,52089
Finland,1979,44349
Finland,1980,53000
Finland,1981,41892
Finland,1982,41739
Finland,1983,38570
Finland,1984,34529
Finland,1985,30415
Finland,1986,27463
Finland,1987,21593
Finland,1988,18420
Finland,1989,25107
Finland,1990,17482
Finland,1991,16224
Finland,1992,15351
Finland,1993,13657
Finland,1994,13243
Finland,1995,9049
Finland,1996,9261
Finland,1997,8500
Finland,1998,9500
Finland,1999,10500
Finland,2000,11500
Finland,2001,11600
Finland,2002,14400
Finland,2003,14900
Finland,2004,15500
Finland,2005,15000
Finland,2006,13000
Finland,2007,13600
Finland,2008,13300
Finland,2009,14600
Finland,2010,14700
Finland,2011,14000
Finland,2012,25446
Finland,2013,38763
Finland,2014,42790
Finland,2015,41085
Finland,2016,47488
Finland,2017,53144
Finland,2018,46755
Finland,2019,32592
Finland,2020,35494
Finland,2021,32017
Finland,2022,27553
France,1970,250
France,1971,248
France,1972,472
France,1973,414
France,1974,392
France,1975,183
France,1976,188
France,1977,128
France,1978,200
France,1979,400
France,1980,100
France,1981,98
France,1982,137
France,1983,304
France,1984,310
France,1985,253
France,1986,294
France,1987,291
France,1988,509
France,1989,1027
France,1990,483
France,1991,372
Georgia,1992,6000
Georgia,1993,5000
Georgia,1994,2300
Georgia,1995,5800
Georgia,1996,6900
Georgia,1997,4000
Georgia,1998,2500
Georgia,1999,1000
Georgia,2000,9000
Georgia,2001,11500
Georgia,2002,13000
Georgia,2003,14700
Georgia,2004,12000
Georgia,2005,9500
Georgia,2006,14600
Georgia,2007,11300
Georgia,2008,18700
Georgia,2009,16600
Georgia,2010,10600
Georgia,2011,10000
Georgia,2012,6800
Georgia,2013,10000
Georgia,2014,6800
Georgia,2015,13000
Georgia,2016,14000
Georgia,2017,15000
Georgia,2018,15704
Georgia,2019,9547
Georgia,2020,8031
Georgia,2021,8147
Georgia,2022,6364
Germany,1991,0
Germany,2020,0
Germany,2021,0
Germany,2022,0
Germany,2023,0
Greece,1974,1500
Greece,1975,2500
Greece,1976,2600
Greece,1977,3500
Greece,1978,1500
Greece,1979,0
Greece,1980,100
Greece,1981,100
Greece,1982,100
Greece,1983,200
Greece,1984,300
Greece,1985,300
Greece,1986,300
Greece,1987,1000
Guatemala,1972,0
Guatemala,1973,0
Guatemala,1974,1600
Guatemala,1975,3300
Guatemala,1976,3500
Guatemala,1977,2500
Guatemala,1978,2023
Guatemala,1979,1791
Guatemala,1980,813
Guatemala,1981,726
Haiti,1970,4848
Haiti,1971,6500
Honduras,1975,200
Honduras,1976,364
Honduras,1977,535
Honduras,1978,427
Honduras,1979,288
Honduras,1980,269
Honduras,1981,454
Honduras,1982,758
Honduras,1983,650
Honduras,1984,2720
Honduras,1985,3329
Honduras,1986,424
Honduras,1987,306
Honduras,1988,538
Honduras,1989,244
Honduras,1990,1388
Honduras,1991,1000
Honduras,1992,1600
Honduras,1993,1000
Honduras,1994,500
Hungary,1975,400
Hungary,1976,262
Hungary,1977,304
Hungary,1978,203
Hungary,1979,116
India,1970,9700
India,1971,11096
India,1972,15669
India,1973,15785
India,1974,20457
India,1975,25155
India,1976,25400
India,1977,29011
India,1978,26640
India,1979,27717
India,1980,26819
India,1981,25200
India,1982,24000
India,1983,43800
India,1984,47000
India,1985,48000
India,1986,49160
India,1987,54085
India,1988,51463
India,1989,53342
India,1990,51566
India,1991,50430
India,1992,49036
India,1993,49416
India,1994,45944
India,1995,46600
India,1996,47800
India,1997,37200
India,1998,48000
India,1999,35479
India,2000,37511
India,2001,38177
India,2002,32780
India,2003,29529
India,2004,30072
India,2005,28640
India,2006,30051
India,2007,32726
India,2008,30528
India,2009,28491
India,2010,31778
India,2011,31375
India,2012,29281
India,2013,32194
India,2014,24889
India,2015,32493
India,2016,30500
India,2017,31800
India,2018,34100
India,2019,28000
India,2020,25810
India,2021,27163
India,2022,26005
Indonesia,1970,0
Indonesia,1971,0
Indonesia,1972,5000
Indonesia,1973,37900
Indonesia,1974,64600
Indonesia,1975,63500
Indonesia,1976,69100
Indonesia,1977,57100
Indonesia,1978,58000
Indonesia,1979,60198
Indonesia,1980,58990
Indonesia,1981,62550
Indonesia,1982,75136
Indonesia,1983,78608
Indonesia,1984,85619
Indonesia,1985,88750
Indonesia,1986,100490
Indonesia,1987,105346
Indonesia,1988,126200
Indonesia,1989,135035
Indonesia,1990,162366
Indonesia,1991,267401
Indonesia,1992,369281
Indonesia,1993,378000
Indonesia,1994,434000
Indonesia,1995,618000
Indonesia,1996,525900
Indonesia,1997,548300
Indonesia,1998,809100
Indonesia,1999,766100
Indonesia,2000,1012000
Indonesia,2001,1048700
Indonesia,2002,1171726
Indonesia,2003,1005837
Indonesia,2004,840318
Indonesia,2005,1063849
Indonesia,2006,817796
Indonesia,2007,796899
Indonesia,2008,650100
Indonesia,2009,995500
Indonesia,2010,863900
Indonesia,2011,538300
Indonesia,2012,398100
Indonesia,2013,509300
Indonesia,2014,378500
Indonesia,2015,578600
Indonesia,2016,728000
Indonesia,2017,622030
Indonesia,2018,651136
Indonesia,2019,351000
Indonesia,2020,505000
Indonesia,2021,731000
Indonesia,2022,941000
Indonesia,2023,840000
Iran,1974,4000
Iran,1975,4000
Iran,1976,6000
Iran,1977,6000
Iran,1978,6000
Iran,1979,3000
Iran,1980,1000
Iran,1981,2000
Iran,1982,43000
Iran,1983,57600
Iran,1984,43300
Iran,1985,40000
Iran,1986,50000
Iran,1987,40000
Iran,1988,50700
Iran,1989,68000
Iran,1990,67000
Iran,1991,89900
Iran,1992,105000
Iran,1993,86600
Iran,1994,117900
Iran,1995,102200
Iran,1996,107600
Iran,1997,118700
Iran,1998,128300
Iran,1999,130000
Iran,2000,147200
Iran,2001,146300
Iran,2002,140700
Iran,2003,146100
Iran,2004,153000
Iran,2005,149900
Iran,2006,216200
Iran,2007,244200
Iran,2008,248100
Iran,2009,262500
Iran,2010,256700
Iran,2011,258900
Iran,2012,245500
Iran,2013,222900
Iran,2014,216800
Iran,2015,257000
Iran,2016,282000
Iran,2017,295621
Iran,2018,310000
Iran,2019,310000
Iran,2020,315000
Iran,2021,316000
Iran,2022,344200
Ireland,1970,8281
Ireland,1971,11800
Ireland,1972,13656
Ireland,1973,13046
Ireland,1974,12700
Ireland,1975,9839
Ireland,1976,4097
Ireland,1977,4829
Ireland,1978,4700
Ireland,1979,5000
Ireland,1980,4000
Ireland,1981,3400
Ireland,1982,1573
Israel,1970,10988
Israel,1971,10700
Israel,1972,11175
Israel,1973,10165
Israel,1974,9488
Israel,1975,8035
Israel,1976,2100
Israel,1977,0
Israel,1978,0
Israel,1979,0
Israel,1980,400
Israel,1981,4400
Israel,1982,4100
Italy,1970,2300
Italy,1971,1540
Italy,1972,1049
Italy,1973,858
Italy,1974,900
Italy,1975,800
Italy,1976,1000
Italy,1977,700
Italy,1978,531
Italy,1979,489
Italy,1980,604
Italy,1981,771
Italy,1982,138
Italy,1983,1556
Italy,1984,876
Italy,1985,127
Italy,1986,0
Japan,1970,119513
Japan,1971,120551
Japan,1972,112114
Japan,1973,91280
Japan,1974,82135
Japan,1975,84639
Japan,1976,81606
Japan,1977,81395
Japan,1978,71951
Japan,1979,59960
Japan,1980,52553
Japan,1981,51513
Japan,1982,50658
Japan,1983,46045
