# File: All_minerals_GCAM_reg_supply_data.csv
# Title: Data used to construct mineral supply curves in GCAM
# Units: Quantities in kt; Costs in $2020/t
# Source: Own processing of mine-level data from Karan Bhuwalka (Stanford) based on S&P data
# Column types: cccnnnnnn
# Description: Data provided is a 2023 snapshot.
# ----------
region,Resource,Stage,n_projects,Production,Reserves,cost_10pct,cost_50pct,cost_90pct
Japan,Copper,Production,1,0.711776214,3.654282814,10711.1865,10711.1865,10711.1865
Mexico,Copper,Early Stage,105,7676.468436,307068.8693,5313.562952,9391.768517,33169.37816
Mexico,Copper,Incentive,5,464.7434231,9338.192492,4559.409646,7527.865064,11247.60122
Mexico,Copper,Late Stage,8,260.4948706,1467.190327,2900.290357,8975.038365,10665.43124
Mexico,Copper,Pre-Production,4,49.7696,882,4441.269755,7147.340838,8540.115827
Mexico,Copper,Production,18,815.7787057,20434.87207,2992.985033,4141.464084,52819.64063
Middle East,Copper,Early Stage,6,42.50838433,4471.241166,3814.2885,5162.439362,7065.570764
Middle East,Copper,Incentive,7,514.7691978,5064.535134,4264.999095,11049.18999,11049.18999
Middle East,Copper,Late Stage,3,266.1737656,0,5362.472184,5362.472184,5362.472184
Middle East,Copper,Pre-Production,5,229.6926112,3484.517803,4182.059901,5369.189516,6716.499941
Middle East,Copper,Production,13,686.7680642,19250.99809,4480.581563,6983.226463,8251.666617
Pakistan,Copper,Early Stage,6,415.401322,11873.1029,5019.056236,7947.327286,9368.506582
Pakistan,Copper,Incentive,2,174.4892785,2268.456069,5241.040038,13286.49702,13286.49702
Pakistan,Copper,Production,1,16,6389.147944,8432.92463,8432.92463,8432.92463
Russia,Copper,Early Stage,22,1109.237078,75489.46761,3916.800648,6851.153818,8954.786812
Russia,Copper,Incentive,7,602.7645595,7430.203692,4665.711831,4665.711831,16096.03123
Russia,Copper,Late Stage,2,85.9264,0,7396.251567,7396.251567,16238.87189
Russia,Copper,Pre-Production,5,599.4126984,31945.21909,4525.960458,4853.077561,7232.581348
Russia,Copper,Production,29,1539.559154,19253.59355,4479.73389,7802.02146,11809.6682
South Africa,Copper,Early Stage,3,8.27817276,764.377923,2791.818568,2791.818568,9025.221782
South Africa,Copper,Incentive,2,25.6,153,6697.309103,12913.07752,12913.07752
South Africa,Copper,Production,1,42.741268,1209.265,2788.98306,2788.98306,2788.98306
South America_Southern,Copper,Early Stage,385,29774.96043,1369361.899,5211.542715,8815.487179,12918.11501
South America_Southern,Copper,Incentive,32,1733.106248,17661.11001,4330.55502,7506.294496,11320.26163
South America_Southern,Copper,Late Stage,21,1941.420626,8061.146706,6921.595043,9615.895026,17601.36949
South America_Southern,Copper,Pre-Production,8,306.0661912,5618.073781,3943.775758,5686.103334,11903.90273
South America_Southern,Copper,Production,121,10274.08932,378232.7442,3875.403836,6065.39683,9027.151321
South Asia,Copper,Early Stage,12,909.3605587,180445.9566,7108.560455,7671.303272,10020.48084
South Asia,Copper,Pre-Production,1,144,0,8785.372273,8785.372273,8785.372273
South Korea,Copper,Early Stage,1,58.14598803,324.8941821,6572.225674,6572.225674,6572.225674
Southeast Asia,Copper,Early Stage,86,4333.149888,176219.3694,4683.127385,8381.645762,12281.89093
Southeast Asia,Copper,Incentive,8,538.382097,12806.31012,6954.607378,6954.607378,11540.56684
Southeast Asia,Copper,Late Stage,11,909.9861827,1811,5906.319591,9265.038515,11120.5739
Southeast Asia,Copper,Pre-Production,3,78.70250941,602.239,5909.501916,5909.501916,9990.849596
Southeast Asia,Copper,Production,16,736.3384544,14130.63275,4673.161902,5510.394555,6868.860379
USA,Copper,Early Stage,267,19821.87297,1815628.117,5314.334663,8245.747246,46593.85131
USA,Copper,Incentive,18,436.6042473,8671.827243,4879.102106,7949.452529,13691.83618
USA,Copper,Late Stage,23,1263.984521,1643.205499,5002.159651,8738.784864,14958.76649
USA,Copper,Pre-Production,6,101.4738163,448.8090681,4741.963111,8631.395984,32293.61307
USA,Copper,Production,36,1888.240339,105371.0349,6205.225923,8309.177962,11320.29468
Africa_Eastern,Lithium,Early Stage,1,4.298069384,232.9476638,7328.593337,7328.593337,7328.593337
Africa_Southern,Lithium,Early Stage,14,448.070376,63923.27514,9322.326647,11799.3601,13141.46022
Africa_Southern,Lithium,Pre-Production,8,86.58268922,624.591,9099.335407,10293.88346,15521.28971
Africa_Southern,Lithium,Production,1,8.309188,390.332,7765.046834,7765.046834,7765.046834
Africa_Western,Lithium,Early Stage,3,53.34593265,920.8936795,10343.43326,11352.6215,11352.6215
Africa_Western,Lithium,Incentive,4,157.8992,2140,6908.530682,6908.530682,14836.82356
Africa_Western,Lithium,Late Stage,1,82.6356607,0,13875.02504,13875.02504,13875.02504
Africa_Western,Lithium,Pre-Production,3,180.192,2355,7938.697804,12751.31702,17018.70903
Argentina,Lithium,Early Stage,39,1113.376182,465033.2807,8709.765239,11013.0727,13388.64758
Argentina,Lithium,Incentive,4,107.2,504.109,7269.345558,8844.578313,12172.77422
Argentina,Lithium,Late Stage,8,201.7031139,969.3587595,7802.817002,12340.83971,12467.73707
Argentina,Lithium,Pre-Production,9,138,47562.3456,8337.973961,10330.49756,11731.20538
Argentina,Lithium,Production,3,60.101682,3147.248,8501.703633,10359.06018,10359.06018
Australia_NZ,Lithium,Early Stage,84,3042.340102,448541.7115,9269.182978,11526.09156,15457.0929
Australia_NZ,Lithium,Incentive,1,24,0,8917.96107,8917.96107,8917.96107
Australia_NZ,Lithium,Late Stage,1,8.542830925,64.96726182,10755.12923,10755.12923,10755.12923
Australia_NZ,Lithium,Pre-Production,6,301.088,6308.972,7703.822793,9289.560887,12786.68892
Australia_NZ,Lithium,Production,10,573.748648,7333,9247.620503,9985.867563,12472.71888
Brazil,Lithium,Early Stage,5,107.0608857,4164.132877,8207.483498,10041.43335,10041.43335
Brazil,Lithium,Late Stage,1,34.56777674,0,8726.868951,8726.868951,8726.868951
Brazil,Lithium,Production,4,8.83938,104225.5921,10087.03742,10087.03742,10087.03742
Canada,Lithium,Early Stage,82,2915.360534,112498.8576,9386.063372,12130.43414,14973.31454
Canada,Lithium,Incentive,2,47.2,0,10914.76397,12837.41319,12837.41319
Canada,Lithium,Late Stage,8,171.8403911,86.593096,8493.69432,10559.71556,10580.57318
Canada,Lithium,Pre-Production,3,311.3971771,1154.4,14154.50052,19967.04077,19967.04077
Central Asia,Lithium,Early Stage,1,83.10148358,403.7990608,14335.92345,14335.92345,14335.92345
China,Lithium,Early Stage,1,8,0,9229.252772,9229.252772,9229.252772
China,Lithium,Pre-Production,2,17.48708194,500.1578814,8886.54752,8886.54752,10614.90182
China,Lithium,Production,3,30.877773,494.2821724,7028.44327,12049.50951,14963.87465
EU-12,Lithium,Incentive,1,20.688,0,13012.76822,13012.76822,13012.76822
EU-15,Lithium,Early Stage,7,124.3440825,3834.723539,9162.758359,10356.90459,11529.27197
EU-15,Lithium,Incentive,10,131.2008,3969.255,7791.888361,9502.206319,10060.97493
EU-15,Lithium,Late Stage,3,28.67835579,0,9763.814228,11787.80526,11787.80526
EU-15,Lithium,Pre-Production,1,10.56,96.516,8572.688966,8572.688966,8572.688966
EU-15,Lithium,Production,3,4.636824,0,12986.16022,12986.16022,12986.16022
Europe_Non_EU,Lithium,Early Stage,9,607.8056109,19670.98996,9399.966659,15448.62329,15448.62329
Europe_Non_EU,Lithium,Incentive,1,21.6,0,8520.983768,8520.983768,8520.983768
India,Lithium,Early Stage,1,12.19592602,89.51337249,11127.27433,11127.27433,11127.27433
Mexico,Lithium,Early Stage,6,72.95701005,2062.420444,9289.108786,9939.335729,13159.44257
Mexico,Lithium,Pre-Production,1,14,1824,12019.95768,12019.95768,12019.95768
South Africa,Lithium,Early Stage,1,2.958163578,91.39012172,8349.35644,8349.35644,8349.35644
South America_Northern,Lithium,Early Stage,1,12.02115786,71.63010858,11907.23964,11907.23964,11907.23964
South America_Southern,Lithium,Early Stage,21,984.0433391,118771.9051,10013.19607,12067.24661,14268.1647
South America_Southern,Lithium,Incentive,1,1.675529229,190.6896134,6558.062949,6558.062949,6558.062949
South America_Southern,Lithium,Late Stage,1,4.8,0,8190.895681,8190.895681,8190.895681
South America_Southern,Lithium,Pre-Production,2,36.16,39352,8863.789927,10221.10431,10221.10431
South America_Southern,Lithium,Production,4,287.219452,783.31,9963.350342,9963.350342,12970.33555
South Asia,Lithium,Early Stage,1,8.494871405,1306.87912,7789.17291,7789.17291,7789.17291
South Korea,Lithium,Early Stage,2,9.413856577,256.804553,9323.419354,9427.350987,9427.350987
Southeast Asia,Lithium,Early Stage,3,206.8233146,1561.310084,12486.39353,12486.39353,12486.39353
USA,Lithium,Early Stage,95,3431.138133,264450.0681,9189.937347,11200.18085,16144.6296
USA,Lithium,Incentive,9,169.4218718,1318.6,8129.383957,12368.41723,13266.49482
USA,Lithium,Late Stage,9,171.4138518,0,8401.261639,9502.883479,13430.88241
USA,Lithium,Pre-Production,3,85.54766838,3000,8846.193307,9573.560323,12112.25351
USA,Lithium,Production,3,13.43457,0.042,11790.93709,11790.93709,11790.93709
Africa_Eastern,Nickel,Production,1,40.799999,1096,14949.99489,14949.99489,14949.99489
Africa_Southern,Nickel,Early Stage,2,28.73089571,766.2355434,15024.21699,16302.82456,16302.82456
Africa_Southern,Nickel,Incentive,3,67.6062845,0,13925.12911,13925.12911,19108.2239
Africa_Southern,Nickel,Production,2,9.52119,21,14857.5152,14857.5152,14857.5152
Africa_Western,Nickel,Early Stage,2,70.00284935,1325.118007,20501.07739,26538.04677,26538.04677
Africa_Western,Nickel,Late Stage,1,41.21239659,0,18064.16014,18064.16014,18064.16014
Australia_NZ,Nickel,Early Stage,22,1369.149419,65873.37443,13300.07794,18071.05016,31657.43899
Australia_NZ,Nickel,Incentive,7,162.2954188,616.4,16533.77316,22959.6644,29934.91288
Australia_NZ,Nickel,Late Stage,10,235.8621333,1573.442,10940.92,15970.59404,23704.37974
Australia_NZ,Nickel,Pre-Production,5,110.1819132,1914.32,12070.33268,19280.7798,22154.74625
Australia_NZ,Nickel,Production,6,123.4912638,2806.280684,13077.03837,20108.83358,27119.87728
Brazil,Nickel,Early Stage,1,20.82496009,0,28149.95351,28149.95351,28149.95351
Brazil,Nickel,Incentive,3,105.5708507,3762.493499,14206.46716,26477.62175,26477.62175
Brazil,Nickel,Late Stage,2,36.53555078,1589.740301,10251.04757,10251.04757,16760.23836
Brazil,Nickel,Pre-Production,2,30.35112554,461,11867.59207,11867.59207,19543.41048
Brazil,Nickel,Production,4,85.63825001,2394,14170.74122,16477.20185,20274.76541
Canada,Nickel,Early Stage,7,170.2567801,2702.265503,12837.54438,19926.26726,23778.27701
Canada,Nickel,Incentive,1,118.0575948,2758.747,18017.13861,18017.13861,18017.13861
Canada,Nickel,Late Stage,5,234.8513424,0,10912.89393,16414.13626,20611.24369
Canada,Nickel,Production,8,208.7430661,4844.299414,16973.4077,32499.38124,34398.04775
Central America and Caribbean,Nickel,Early Stage,1,16.4260392,0,21905.12909,21905.12909,21905.12909
Central America and Caribbean,Nickel,Incentive,2,42.94582694,1412,12707.85031,12707.85031,15257.74237
Central America and Caribbean,Nickel,Late Stage,1,20.34655723,985.434,16373.94487,16373.94487,16373.94487
Central America and Caribbean,Nickel,Production,3,67.14243529,5948.4,11186.05651,15734.33871,21586.76503
Central Asia,Nickel,Incentive,1,45.38638962,825,15662.10201,15662.10201,15662.10201
China,Nickel,Production,2,115.3175798,5649,10975.67058,13779.71633,13779.71633
Colombia,Nickel,Production,1,43,328.855,12020.12997,12020.12997,12020.12997
EU-15,Nickel,Early Stage,1,89.10759099,1060.253755,17090.43427,17090.43427,17090.43427
EU-15,Nickel,Production,2,28.428607,587,13565.27577,24778.4216,24778.4216
Europe_Non_EU,Nickel,Incentive,1,25.45743514,375,31484.73526,31484.73526,31484.73526
Europe_Non_EU,Nickel,Production,2,53.23544868,1164.843969,23210.0745,26647.1079,26647.1079
European Free Trade Association,Nickel,Early Stage,1,4.778316574,0,20519.13016,20519.13016,20519.13016
India,Nickel,Incentive,1,10.59074438,0,12385.87184,12385.87184,12385.87184
Indonesia,Nickel,Early Stage,3,60.47850484,1327.92515,6992.468867,18632.9508,18632.9508
Indonesia,Nickel,Incentive,5,100.6571484,2242.921278,10193.71499,16903.63191,23650.20174
Indonesia,Nickel,Pre-Production,46,1124.298044,39667.47752,12157.07556,20108.83358,26647.1079
Indonesia,Nickel,Production,66,1622.053059,62888.86724,11186.05651,16785.58602,26673.79965
Russia,Nickel,Late Stage,1,210.9104388,0,16737.12552,16737.12552,16737.12552
Russia,Nickel,Production,2,251.7359201,15244.05766,14055.39003,14055.39003,28593.31028
South America_Northern,Nickel,Production,1,10.09587108,68,12720.75098,12720.75098,12720.75098
Southeast Asia,Nickel,Early Stage,2,24.26861052,111.8034956,10574.76853,10574.76853,16591.30047
Southeast Asia,Nickel,Incentive,4,115.9424946,1199,14812.18043,26243.51543,27355.82197
Southeast Asia,Nickel,Late Stage,1,8.994540876,0,27561.41145,27561.41145,27561.41145
Southeast Asia,Nickel,Pre-Production,1,35.07295085,0,23038.06461,23038.06461,23038.06461
Southeast Asia,Nickel,Production,18,484.3137432,16263.15198,13487.21168,20553.85115,26673.79965
USA,Nickel,Early Stage,3,78.77961136,2515.00741,17109.72264,18922.71772,19688.15073
USA,Nickel,Incentive,2,54.64744907,0,8468.334561,30212.46624,30212.46624
USA,Nickel,Late Stage,1,54.65307398,0,21281.08332,21281.08332,21281.08332
USA,Nickel,Production,2,32.154,112.6,14836.0784,14836.0784,14836.0784
