# File: A23.subsector_interp_cwf_adj.csv
# Title: Electricity subsector shareweight interpolations to adjust for CWF case. These years need to match with years in the shareweight definition files (e.g. A23.subsector_shrwt_renew_R_cwf_adj.csv)
# Units: Unitless share-weights
# Source: None (assumptions)
# Column types: ccccccnc
# ----------
region,supplysector,subsector,apply.to,from.year,to.year,to.value,interpolation.function
Middle East,electricity,wind,share-weight,2021,2025,1,linear
Pakistan,electricity,wind,share-weight,2021,2025,1,linear
Russia,electricity,wind,share-weight,2021,2025,1,linear
South Africa,electricity,wind,share-weight,2021,2025,1,linear
South America_Northern,electricity,wind,share-weight,2021,2025,1,linear
South America_Southern,electricity,wind,share-weight,2021,2025,1,linear
South Asia,electricity,wind,share-weight,2021,2025,1,linear
South Korea,electricity,wind,share-weight,2021,2025,1,linear
Southeast Asia,electricity,wind,share-weight,2021,2025,1,linear
Taiwan,electricity,wind,share-weight,2021,2025,1,linear
Argentina,electricity,wind,share-weight,2021,2025,1,linear
Colombia,electricity,wind,share-weight,2021,2025,1,linear
USA,electricity,wind,share-weight,2025,2100,1,fixed
Africa_Eastern,electricity,wind,share-weight,2025,2100,1,fixed
Africa_Northern,electricity,wind,share-weight,2025,2100,1,fixed
Africa_Southern,electricity,wind,share-weight,2025,2100,1,fixed
Africa_Western,electricity,wind,share-weight,2025,2100,1,fixed
Australia_NZ,electricity,wind,share-weight,2025,2100,1,fixed
Brazil,electricity,wind,share-weight,2025,2100,1,fixed
Canada,electricity,wind,share-weight,2025,2100,1,fixed
Central America and Caribbean,electricity,wind,share-weight,2025,2100,1,fixed
Central Asia,electricity,wind,share-weight,2025,2100,1,fixed
China,electricity,wind,share-weight,2025,2100,1,fixed
EU-12,electricity,wind,share-weight,2025,2100,1,fixed
EU-15,electricity,wind,share-weight,2025,2100,1,fixed
Ukraine,electricity,wind,share-weight,2025,2100,1,fixed
Europe_Non_EU,electricity,wind,share-weight,2025,2100,1,fixed
European Free Trade Association,electricity,wind,share-weight,2025,2100,1,fixed
India,electricity,wind,share-weight,2025,2100,1,fixed
Indonesia,electricity,wind,share-weight,2025,2100,1,fixed
Japan,electricity,wind,share-weight,2025,2100,1,fixed
Mexico,electricity,wind,share-weight,2025,2100,1,fixed
Middle East,electricity,wind,share-weight,2025,2100,1,fixed
Pakistan,electricity,wind,share-weight,2025,2100,1,fixed
Russia,electricity,wind,share-weight,2025,2100,1,fixed
South Africa,electricity,wind,share-weight,2025,2100,1,fixed
South America_Northern,electricity,wind,share-weight,2025,2100,1,fixed
South America_Southern,electricity,wind,share-weight,2025,2100,1,fixed
South Asia,electricity,wind,share-weight,2025,2100,1,fixed
South Korea,electricity,wind,share-weight,2025,2100,1,fixed
Southeast Asia,electricity,wind,share-weight,2025,2100,1,fixed
Taiwan,electricity,wind,share-weight,2025,2100,1,fixed
Argentina,electricity,wind,share-weight,2025,2100,1,fixed
Colombia,electricity,wind,share-weight,2025,2100,1,fixed
USA,electricity,solar,share-weight,2021,2025,1,linear
Africa_Eastern,electricity,solar,share-weight,2021,2025,1,linear
Africa_Northern,electricity,solar,share-weight,2021,2025,1,linear
Africa_Southern,electricity,solar,share-weight,2021,2025,1,linear
Africa_Western,electricity,solar,share-weight,2021,2025,1,linear
Australia_NZ,electricity,solar,share-weight,2021,2025,1,linear
Brazil,electricity,solar,share-weight,2021,2025,1,linear
Canada,electricity,solar,share-weight,2021,2025,1,linear
Central America and Caribbean,electricity,solar,share-weight,2021,2025,1,linear
Central Asia,electricity,solar,share-weight,2021,2025,1,linear
China,electricity,solar,share-weight,2021,2025,1,linear
EU-12,electricity,solar,share-weight,2021,2025,1,linear
EU-15,electricity,solar,share-weight,2021,2025,1,linear
Ukraine,electricity,solar,share-weight,2021,2025,1,linear
Europe_Non_EU,electricity,solar,share-weight,2021,2025,1,linear
European Free Trade Association,electricity,solar,share-weight,2021,2025,1,linear
India,electricity,solar,share-weight,2021,2025,1,linear
Indonesia,electricity,solar,share-weight,2021,2025,1,linear
Japan,electricity,solar,share-weight,2021,2025,1,linear
Mexico,electricity,solar,share-weight,2021,2025,1,linear
Middle East,electricity,solar,share-weight,2021,2025,1,linear
Pakistan,electricity,solar,share-weight,2021,2025,1,linear
Russia,electricity,solar,share-weight,2021,2025,1,linear
South Africa,electricity,solar,share-weight,2021,2025,1,linear
South America_Northern,electricity,solar,share-weight,2021,2025,1,linear
South America_Southern,electricity,solar,share-weight,2021,2025,1,linear
South Asia,electricity,solar,share-weight,2021,2025,1,linear
South Korea,electricity,solar,share-weight,2021,2025,1,linear
Southeast Asia,electricity,solar,share-weight,2021,2025,1,linear
Taiwan,electricity,solar,share-weight,2021,2025,1,linear
Argentina,electricity,solar,share-weight,2021,2025,1,linear
Colombia,electricity,solar,share-weight,2021,2025,1,linear
USA,electricity,solar,share-weight,2025,2100,1,fixed
Africa_Eastern,electricity,solar,share-weight,2025,2100,1,fixed
Africa_Northern,electricity,solar,share-weight,2025,2100,1,fixed
Africa_Southern,electricity,solar,share-weight,2025,2100,1,fixed
Africa_Western,electricity,solar,share-weight,2025,2100,1,fixed
Australia_NZ,electricity,solar,share-weight,2025,2100,1,fixed
Brazil,electricity,solar,share-weight,2025,2100,1,fixed
Canada,electricity,solar,share-weight,2025,2100,1,fixed
Central America and Caribbean,electricity,solar,share-weight,2025,2100,1,fixed
Central Asia,electricity,solar,share-weight,2025,2100,1,fixed
China,electricity,solar,share-weight,2025,2100,1,fixed
EU-12,electricity,solar,share-weight,2025,2100,1,fixed
EU-15,electricity,solar,share-weight,2025,2100,1,fixed
Ukraine,electricity,solar,share-weight,2025,2100,1,fixed
Europe_Non_EU,electricity,solar,share-weight,2025,2100,1,fixed
European Free Trade Association,electricity,solar,share-weight,2025,2100,1,fixed
India,electricity,solar,share-weight,2025,2100,1,fixed
Indonesia,electricity,solar,share-weight,2025,2100,1,fixed
Japan,electricity,solar,share-weight,2025,2100,1,fixed
Mexico,electricity,solar,share-weight,2025,2100,1,fixed
Middle East,electricity,solar,share-weight,2025,2100,1,fixed
Pakistan,electricity,solar,share-weight,2025,2100,1,fixed
Russia,electricity,solar,share-weight,2025,2100,1,fixed
South Africa,electricity,solar,share-weight,2025,2100,1,fixed
South America_Northern,electricity,solar,share-weight,2025,2100,1,fixed
South America_Southern,electricity,solar,share-weight,2025,2100,1,fixed
South Asia,electricity,solar,share-weight,2025,2100,1,fixed
South Korea,electricity,solar,share-weight,2025,2100,1,fixed
Southeast Asia,electricity,solar,share-weight,2025,2100,1,fixed
Taiwan,electricity,solar,share-weight,2025,2100,1,fixed
Argentina,electricity,solar,share-weight,2025,2100,1,fixed
Colombia,electricity,solar,share-weight,2025,2100,1,fixed
USA,electricity,geothermal,share-weight,2021,2025,1,linear
Africa_Eastern,electricity,geothermal,share-weight,2021,2025,1,linear
Africa_Northern,electricity,geothermal,share-weight,2021,2025,1,linear
Africa_Southern,electricity,geothermal,share-weight,2021,2025,1,linear
Africa_Western,electricity,geothermal,share-weight,2021,2025,1,linear
Australia_NZ,electricity,geothermal,share-weight,2021,2025,1,linear
Brazil,electricity,geothermal,share-weight,2021,2025,1,linear
Canada,electricity,geothermal,share-weight,2021,2025,1,linear
Central America and Caribbean,electricity,geothermal,share-weight,2021,2025,1,linear
Central Asia,electricity,geothermal,share-weight,2021,2025,1,linear
China,electricity,geothermal,share-weight,2021,2025,1,linear
EU-12,electricity,geothermal,share-weight,2021,2025,1,linear
EU-15,electricity,geothermal,share-weight,2021,2025,1,linear
Ukraine,electricity,geothermal,share-weight,2021,2025,1,linear
Europe_Non_EU,electricity,geothermal,share-weight,2021,2025,1,linear
European Free Trade Association,electricity,geothermal,share-weight,2021,2025,1,linear
India,electricity,geothermal,share-weight,2021,2025,1,linear
Indonesia,electricity,geothermal,share-weight,2021,2025,1,linear
Japan,electricity,geothermal,share-weight,2021,2025,0,linear
Mexico,electricity,geothermal,share-weight,2021,2025,1,linear
Middle East,electricity,geothermal,share-weight,2021,2025,1,linear
Pakistan,electricity,geothermal,share-weight,2021,2025,1,linear
Russia,electricity,geothermal,share-weight,2021,2025,1,linear
South Africa,electricity,geothermal,share-weight,2021,2025,1,linear
South America_Northern,electricity,geothermal,share-weight,2021,2025,1,linear
South America_Southern,electricity,geothermal,share-weight,2021,2025,1,linear
South Asia,electricity,geothermal,share-weight,2021,2025,1,linear
South Korea,electricity,geothermal,share-weight,2021,2025,0,linear
Southeast Asia,electricity,geothermal,share-weight,2021,2025,1,linear
Taiwan,electricity,geothermal,share-weight,2021,2025,1,linear
Argentina,electricity,geothermal,share-weight,2021,2025,1,linear
Colombia,electricity,geothermal,share-weight,2021,2025,1,linear
USA,electricity,geothermal,share-weight,2025,2100,1,fixed
Africa_Eastern,electricity,geothermal,share-weight,2025,2100,1,fixed
Africa_Northern,electricity,geothermal,share-weight,2025,2100,1,fixed
Africa_Southern,electricity,geothermal,share-weight,2025,2100,1,fixed
Africa_Western,electricity,geothermal,share-weight,2025,2100,1,fixed
Australia_NZ,electricity,geothermal,share-weight,2025,2100,1,fixed
Brazil,electricity,geothermal,share-weight,2025,2100,1,fixed
Canada,electricity,geothermal,share-weight,2025,2100,1,fixed
Central America and Caribbean,electricity,geothermal,share-weight,2025,2100,1,fixed
Central Asia,electricity,geothermal,share-weight,2025,2100,1,fixed
China,electricity,geothermal,share-weight,2025,2100,1,fixed
EU-12,electricity,geothermal,share-weight,2025,2100,1,fixed
EU-15,electricity,geothermal,share-weight,2025,2100,1,fixed
Ukraine,electricity,geothermal,share-weight,2025,2100,1,fixed
Europe_Non_EU,electricity,geothermal,share-weight,2025,2100,1,fixed
European Free Trade Association,electricity,geothermal,share-weight,2025,2100,1,fixed
India,electricity,geothermal,share-weight,2025,2100,1,fixed
Indonesia,electricity,geothermal,share-weight,2025,2100,1,fixed
Japan,electricity,geothermal,share-weight,2025,2100,0,fixed
Mexico,electricity,geothermal,share-weight,2025,2100,1,fixed
Middle East,electricity,geothermal,share-weight,2025,2100,1,fixed
Pakistan,electricity,geothermal,share-weight,2025,2100,1,fixed
Russia,electricity,geothermal,share-weight,2025,2100,1,fixed
South Africa,electricity,geothermal,share-weight,2025,2100,1,fixed
South America_Northern,electricity,geothermal,share-weight,2025,2100,1,fixed
South America_Southern,electricity,geothermal,share-weight,2025,2100,1,fixed
South Asia,electricity,geothermal,share-weight,2025,2100,1,fixed
South Korea,electricity,geothermal,share-weight,2025,2100,0,fixed
Southeast Asia,electricity,geothermal,share-weight,2025,2100,1,fixed
Taiwan,electricity,geothermal,share-weight,2025,2100,1,fixed
Argentina,electricity,geothermal,share-weight,2025,2100,1,fixed
Colombia,electricity,geothermal,share-weight,2025,2100,1,fixed
