# File: IEA_CCUS_Projects_Database_2025.csv
# Title: Operational + Under Construction CCUS Capacity
# Units: MtCO2 per year
# Source: IEA 2025 https://www.iea.org/data-and-statistics/data-product/ccus-projects-database#
# Column types: ciccciiiicncncccc
# ----------
Project name,ID,Country,Partners,Project type,Announcement,FID,Operation,Suspension/decommissioning/cancellation,Project Status,Project phase,Announced capacity (Mt CO2/yr),Estimated capacity by IEA (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Region
Oceania CCS (capture sources under evaluation),647,Japan,"Nippon steel, ExxonMobil, Mitsubishi",T&S,2023,,,,Planned,,2,2,T&S,Dedicated storage,Oceania CCS,Australia and New Zealand
ECO2CEE (previously Poland EU CCS Interconnector) phase 3,648,"Poland, Latvia, Lithuania","Air Liquide Polska, PKN Orlen, Lafarge Cement, Orlen Lietuva",Transport,2021,,2033,,Planned,3,0.3,0.3,Transport,Dedicated storage,ECO2CEE,Europe
ECO2Normandy phase 1,649,France,"Air Liquide, Borealis, Esso (Exxon Mobil), TotalEnergies, Yara",Transport,2023,,2028,,Planned,1,1.2,1.2,Transport,Dedicated storage,ECO2Normandy/Nautilus,Europe
ECO2Normandy phase 2,650,France,"Air Liquide, Borealis, Esso (Exxon Mobil), TotalEnergies, Yara",Transport,2023,,2031,,Planned,2,1.2,1.2,Transport,Dedicated storage,ECO2Normandy/Nautilus,Europe
ECO2Normandy phase 3,651,France,"Air Liquide, Borealis, Esso (Exxon Mobil), TotalEnergies, Yara",Transport,2023,,2036,,Planned,3,1.2,1.2,Transport,Dedicated storage,ECO2Normandy/Nautilus,Europe
Callisto Mediterranean CO2 Network phase 1,652,France-Italy,"Air Liquide, Eni, Snam",Transport,2023,,2029,,Planned,1,3.6,3.6,Transport,Dedicated storage,Ravenna CCS,Europe
Callisto Mediterranean CO2 Network phase 2,653,France-Italy,"Air Liquide, Eni, Snam",Transport,2023,,2040,,Planned,2,2.8,2.8,Transport,Dedicated storage,Ravenna CCS,Europe
C Zero phase 1,654,Germany-Netherlands,"Air Liquide, Lhoist, Duisport",Transport,2023,,,,Planned,1,1.2,1.2,Transport,Dedicated storage,C Zero/Nautilus,Europe
C Zero phase 2,655,Germany-Netherlands,"Air Liquide, Lhoist, Duisport",Transport,2023,,,,Planned,2,1.2,1.2,Transport,Dedicated storage,C Zero/Nautilus,Europe
C Zero phase 3,656,Germany-Netherlands,"Air Liquide, Lhoist, Duisport",Transport,2023,,,,Planned,3,0.3,0.3,Transport,Dedicated storage,C Zero/Nautilus,Europe
OLYMPUS Holcim Milaki,657,Greece,"Holcim Group, Air Liquide",Capture,2023,,2029,,Planned,,1,1,Cement,Dedicated storage,Prinos CO2 storage,Europe
KOdeCO project,658,Croatia,"Holcim Group, Air Liquide",Capture,2023,,2028,,Planned,,0.366,0.366,Cement,Dedicated storage,,Europe
Weyburn-Midale storage,659,Canada,"Whitecap Resources Inc., Cardinal Energy LTD.",Storage,,,2020,,Operational,,3,3,Storage,EOR,,North America
Heidelberg Materials CBR Antoing Cement Plant (Anthemis),660,Belgium,Heidelberg Materials,Capture,2023,,2030,,Planned,,0.8,0.8,Cement,Dedicated storage,Fluxys Tournai-Zeebrugge,Europe
EU2NSEA PCI Project,661,Norway,Equinor and partners (incl. Heidelberg Materials),Transport,2022,,2030,,Planned,,20 - 50,20,Transport,Dedicated storage,EU2NSEA,Europe
Marquis Industrial Complex (IL),662,United States,"Marquis Inc., Gas Liquids Engineering Ltd (FEED)",Full chain,2022,,,,Planned,,1.2,1.2,Biofuels,Dedicated storage,,North America
Hoosier 1 (Cardinal ethanol facility) (IN) ,663,United States,"One Carbon Partnership (Cardinal Ethanol, Vault 44.01 joint venture)",Full chain,2022,,,,Planned,,0.4,0.4,Biofuels,Dedicated storage,,North America
"CO2 TransPorts phase 2 (cross-border pipeline, phase 1 is Porthos and Antwerp?)",664,Belgium-Netherlands,"Port of Rotterdam, port of Antwerp, North Sea Port, Fluxys, Gasunie",Transport,2022,,,,Planned,1,5,5,Transport,Dedicated storage,CO2TransPorts,Europe
Tohoku Region West Coast CCS,666,Japan,"ITOCHU, ITOCHU Oil exploration  Mistubishi Heavy Industries, INPEX, Taisei",T&S,2023,,2030,,Planned,,2,2,T&S,Dedicated storage,Tohoku Region West Coast CCS,Other Asia Pacific
Tomakomai area CCS,667,Japan,"Idemitsu, Hokkaido Electric Power, JAPEX",T&S,2023,,2030,,Planned,,1.5,1.5,T&S,Dedicated storage,Tomakomai area CCS,Other Asia Pacific
MOL Szank field CO2 EOR,669,Hungary,MOL group,Full chain,,,1992,,Operational,,0.16,0.16,Natural gas processing/LNG,EOR,,Europe
Gassum storage/Fyrkat network (Norne carbon storage hub),670,Denmark,"Fidelis new energy, Gas Storage Denmark, Capio Danmark (PCI coordinator), Ross Energy",Storage,2022,,2026,,Planned,1,2.6,2.6,Storage,Dedicated storage,Norne carbon storage hub,Europe
Havnso storage/Trelleborg network (Norne carbon storage hub),671,Denmark,"Fidelis new energy, Gas Storage Denmark, Capio Danmark (PCI coordinator), Ross Energy",Storage,2022,,2030,,Planned,2,16.4,16.4,Storage,Dedicated storage,Norne carbon storage hub,Europe
Port of Aalborg terminal and pipeline to Fyrkat (Norne carbon storage hub),672,Denmark,"Fidelis new energy, Gas Storage Denmark, Capio Danmark (PCI coordinator), KBR (FEED)",Transport,2022,,2026,,Planned,,4,4,Transport,Dedicated storage,Norne carbon storage hub,Europe
Port of Kalundborg terminal and pipeline to Trelleborg phase 1 (Norne carbon storage hub),673,Denmark,"Fidelis new energy, Gas Storage Denmark, Capio Danmark (PCI coordinator)",Transport,2022,,2026,,Planned,1,4,4,Transport,Dedicated storage,Norne carbon storage hub,Europe
Port of Kalundborg terminal and pipeline to Trelleborg phase 2 (Norne carbon storage hub),674,Denmark,"Fidelis new energy, Gas Storage Denmark, Capio Danmark (PCI coordinator)",Transport,2022,,2030,,Planned,2,8,8,Transport,Dedicated storage,Norne carbon storage hub,Europe
German carbon transport grid,675,Germany,"Open Grid Europe (OGE), TES",Transport,2022,2025,2028,,Planned,,18.8 - 25.8,25.8,Transport,Dedicated storage,German Carbon transport grid,Europe
Equinor Smeaheia storage phase 2,676,Norway,Equinor,T&S,2022,,2035,,Planned,2,24,24,T&S,Dedicated storage,Wilhelmshaven/Smeahia,Europe
North Sea CO2 corridor,677,Belgium-Germany,"Wintershell Dea (Harbour Energy), Fluxys, OGE",Transport,2023,,2030,,Planned,,30,30,Transport,Dedicated storage,Wintershell dea-Fluxys belgium-germany pipeline,Europe
WH2V therminal (Wilhelshaven green energy hub phase 1),678,Multiple Europe,TES,Transport,2022,,2029,,Planned,,10,10,Transport,Dedicated storage,German Carbon Grid,Europe
NL CCS Direct Injection Phase 1,679,Netherlands,"Eni (following acquisition of Neptune Energy), EBN, OneDyas",T&S,2023,2037,2040,,Planned,1,3,3,T&S,Dedicated storage,DI Hub,Europe
RWE Eemshaven power plant (BECCUS project),680,Netherlands,RWE,Capture,2022,,2030,,Planned,,5.5 - 7,7,Power and heat,Dedicated storage,Noorkaap,Europe
RWE Amer power plant (BECCUS project),681,Netherlands,RWE,Capture,2022,,2032,,Planned,,5.5 - 7,7,Power and heat,Dedicated storage,Noorkaap,Europe
"CCS Baltic Consortium, Klapeida terminal",683,"Lithuania, Latvia",Kalipedos Nafta AB,Transport,2022,2027,2031,,Planned,,4,4,Transport,Dedicated storage,"CCS Baltic Constium, Klapeida terminal",Europe
Geothermal CCS Croatia,684,Croatia,Hydrocarbons Agency Croatia,T&S,2022,2025,2031,,Planned,,0.63,0.63,T&S,Dedicated storage,Geothermal CCS Croatia,Europe
PYCASSO hub phase 2 - northern and cross-border pipeline,685,France-Spain,"Terega, Pole Avenia, Agglo Pau, Holcim Group, Universit  de Pau, BGRM, IFPEN, Schlumberger, Repsol, CNAM, geostock, geopetrol",T&S,2021,2025,2035,,Planned,2,4,4,T&S,Dedicated storage,PYCASSO hub,Europe
Buzzi Unicem Augusta cement plant,686,Italy,Buzzi Unicem Spa,Capture,2022,,,,Planned,,0.2,0.2,Cement,Dedicated storage,Augusta-C2/Prinos CO2 storage,Europe
Augusta C2 ,687,Italy-Greece,Buzzi Unicem Spa,Transport,2022,,2029,,Planned,,0.2,0.2,Transport,Dedicated storage,Augusta-C2/Prinos CO2 storage,Europe
Prinos CCS phase 1,688,Greece,Energean,T&S,2021,,2026,,Planned,1,1,1,T&S,Dedicated storage,Prinos CO2 storage,Europe
Prinos CCS phase 2,689,Greece,Energean,T&S,2021,,2027,,Planned,2,2.5,2.5,T&S,Dedicated storage,Prinos CO2 storage,Europe
Prinos sigma plant,690,Greece,Energean,Capture,2022,,2026,,Planned,,1,1,Natural gas processing/LNG,Dedicated storage,Prinos CO2 storage,Europe
Burns Harbour (IN),691,United States,"Dastur International Inc., ON Clean Energy, Inc., University of Texas,Cleveland-Cliffs Inc.",Capture,2020,,,,Planned,,2.8,2.8,Iron and steel,Unknown/unspecified,,North America
Advanced CO2 Capture from Hydrogen Production Unit at Phillips 66 Rodeo Refinery (CA),695,United States,Phillips 66,Capture,2021,,,,Planned,,0.19,0.19,Other fuel transformation,Unknown/unspecified,,North America
Linde-BASF capture SMR plant Covent (LA),696,United States,Praxair,Capture,2020,,,,Planned,,1.361,1.361,Hydrogen or ammonia,Unknown/unspecified,,North America
Blue Bison ATR advanced CCUS system (WY),697,United States,"Tallgrass MLP Operations, LLC (FEED)",Capture,2021,,,,Planned,,1.66,1.66,Hydrogen or ammonia,Unknown/unspecified,,North America
Calpine Delta Energy Center (CA),698,United States,"ION Clean Energy, Inc., Calpine",Capture,2021,,,,Planned,,,,Power and heat,Dedicated storage,,North America
Carbon Capture Retrofit at Sherman Generating Station (TX),699,United States,"Bechtel National, Inc.",Capture,2019,,,,Planned,,,,Power and heat,Unknown/unspecified,,North America
CO2 capture at Duke Energy's East Bend Station (KY),700,United States,"EPRI, MTR",Capture,2018,,,,Planned,,,,Power and heat,EOR,,North America
Calpine Baytown Energy Center (Baytown decarbonization project) (TX),701,United States,"Calpine, Technip Energies, Shell, Zachry Group",Capture,2023,,2028,,Planned,,2,2,Power and heat,Unknown/unspecified,,North America
Shell Deer Park Chemical complex (TX),702,United States,Wood Environment & Infrastructure Solutions,Capture,2021,,,,Planned,,,,Chemicals,Unknown/unspecified,,North America
North Dakota CarbonSAFE (ND),703,United States,"Summit carbon solutions, Minnkota Power Cooperative, Inc., University of North Dakota EERC (data from CarbonSafe used for project)",Storage,2017,,,,Planned,,4.99,4.99,Storage,Dedicated storage,North Dakota CarbonSAFE (ND),North America
J-Power Sumitomo joint feasibility clean hydrogen Latrobe Valley (VI),704,Australia,"J-Power, Sumitomo corporation",Full chain,2023,,,,Planned,,,,Hydrogen or ammonia,Dedicated storage,,Australia and New Zealand
Viking CCS Phase 3,705,United Kingdom,"Harbour Energy (operator), BP (40%), Technip energies (FEED transport)",T&S,2020,,2035,,Planned,3,5,5,T&S,Dedicated storage,Viking CCS,Europe
RWE CCGT Staythorpe,706,United Kingdom,RWE,Capture,2022,2030,2034,,Planned,,3.7,3.7,Power and heat,Dedicated storage,Viking CCS,Europe
Central Louisiana Regional Carbon Storage (CENLA) Hub (Wilcox) (LA) phase 1,708,United States,"CapturePoint Solutions, Energy transfer",T&S,2022,2023,2025,,Under construction,1,2,2,T&S,Dedicated storage,Central Louisiana Regional Carbon Storage (CENLA) Hub (LA),North America
Haynesville Shale natural gas (LA),709,United States,"CapturePoint Solutions, Energy transfer",Capture,2022,2022,2025,,Under construction,,2,2,Natural gas processing/LNG,Dedicated storage,Central Louisiana Regional Carbon Storage (CENLA) Hub (LA),North America
Trudvang storage project (EXL007),710,Norway,"Eni (following acquisition of Neptune Energy)  (30%), Sval (28% op), Storegga (30%), INPEX(12%)",Storage,2023,2027,2029,,Planned,,10-May,10,Storage,Dedicated storage,Trudvang storage project,Europe
Coastal Bend Carbon Management Project (TX),711,United States,"Port of Corpus Christi, Talos Energy (Total Energies), Howard Energy Partners, Texas A&M University System",Storage,2022,,,,Planned,,1 - 1.5,1.5,Storage,Dedicated storage,Coastal Bend Carbon Management Partnership (TX),North America
Coastal Bend Offshore CO2 Storage (TX),712,United States,"Port of Corpus Christi, 1845 Carbon Storage LLC, Strategic Sequestration Development LLC, University of Texas Bureau of Economic Geology s Gulf Coast Carbon Center",Storage,2023,,,,Planned,,,,Storage,Dedicated storage,Corpus Christi offshore storage (TX),North America
Tulare County Carbon Storage Project (CA),713,United States,Advanced Resources International Inc.,Storage,2023,,2026,,Planned,,,2.5,Storage,Dedicated storage,Tulare County Carbon Storage Project (CA),North America
Carbon Storage Complex Southeastern Michigan (MI),714,United States,"Battelle Memorial Institute, DTE Energy",Storage,2023,,,,Planned,,,2.1,Storage,Dedicated storage,Carbon Storage Complex Southeastern Michigan (MI),North America
Mitchell CarbonSAFE (IN),715,United States,"Illinois State Geological Survey, Heidelberg Materials, Projeo, IGS, University of Illinois",Storage,2023,,,,Planned,,1.667,1.667,Storage,Dedicated storage,Mitchell CarbonSAFE (IL),North America
Sutter Decarbonization Project (CA),716,United States,"Gas Technology Institute, Calpine, 1pointfive (storage)",T&S,2023,2025,2028,,Planned,,1.8,1.8,T&S,Dedicated storage,Sutter Decarbonization Project (CA),North America
Project OASIS Shelby County (AL),717,United States,Southern States Energy Board,Storage,2022,,,,Planned,,,,Storage,Dedicated storage,Project OASIS Shelby County (AL),North America
Project Lochridge (Gulf of Mexico CCS Partnership Hub) (LA),718,United States,"Carbon Zero (Storage), Cox (field owner), Crescent Midstream (pipeline operator), Repsol",T&S,2022,,2030,,Planned,,,,T&S,Dedicated storage,Project Lochridge (Gulf of Mexico CCS Partnership Hub) (LA),North America
Roughrider Carbon Storage Hub (ND),719,United States,"University of North Dakota, ONEOK, EERC",Storage,2023,,,,Planned,,,,Storage,Dedicated storage,Roughrider Carbon Storage Hub (ND),North America
Unita Basin Carbon SAFE (UT),720,United States,University of Utah,Storage,2023,,,,Planned,,,,Storage,Dedicated storage,Unita Basin Carbon SAFE (UT),North America
Calpine Hermiston Power/HERO Basalt CarbonSafe (OR),721,United States,"University of Wyoming, PNNL, 1PointFive, Calpine, Carbfix, Schlumberger",Full chain,2023,,,,Planned,,1.7,1.7,Power and heat,Dedicated storage,,North America
Pathways alliance (ALB) (14 facilities),722,Canada,"CNRL, Cenovus Energy, ConocoPhilips, Imperial, MEG Energy, Suncor (Pathways Alliance)",Capture,2022,2025,2030,,Planned,,12-Oct,12,Other fuel transformation,Dedicated storage,Pathways Alliance,North America
Zutica and Ivanic grad EOR extension,725,Croatia,INA/MOL,Storage,,,,,Planned,,,,Storage,EOR,,Europe
Kutina Petrokemija ammonia (ICORD project?),726,Croatia,"INA, MOL Group",Capture,2021,,2027,,Planned,,0.19,0.19,Chemicals,Unknown/unspecified,Zutica and Ivanic grad EOR extension,Europe
Kalundborg refinery project,727,Denmark,"Kalundborg, Aker Carbon Capture ",Capture,2021,,2030,,Planned,,,,Other fuel transformation,Unknown/unspecified,,Europe
ACCSION Aalborg Portland,728,Denmark,"Aalborg Portland (Cementir Holding Group), Air Liquide",Capture,2021,,2030,,Planned,,1.5,1.5,Cement,Dedicated storage,Norne carbon storage hub,Europe
ARGO waste-to-energy plant,729,Denmark,ARGO,Capture,2021,,2030,,Planned,,,,Power and heat,Unknown/unspecified,,Europe
BIOFOS Carbon Capture Project ,730,Denmark,BIOFOS,Capture,2021,,2030,,Planned,,,,Power and heat,Unknown/unspecified,,Europe
Rezzato-Mazzano plant,732,Italy,Heidelberg Materials,Capture,2024,,2032,,Planned,,,,Cement,Unknown/unspecified,,Europe
Getica CCS - Turceni power plant,733,Romania,"ISPE (feasibility), Alstom (feasibility) Oltenia, Transgaz",Capture,2010,,,,Planned,,1.3,1.3,Power and heat,Dedicated storage,,Europe
Mission Zero Technologies pilot 2,736,Oman,Mission Zero Technologies,Capture,,,2026,,Planned,,0 - 0,0.002,DAC,Dedicated storage,,Middle East
Danube Removals,745,Hungary,"emov, Danubeenergy ventures, ClonBio Group",Full chain,,,2026,,Planned,,0.5,0.5,Biofuels,Dedicated storage,,Europe
Norvik Infrastructure CCS East (NICE),746,Sweden,"Ports of Stockhom,  Stockholm Exergi, M larenergi, S derenergi, Vattenfall, Heidelberg Materials, Nordkalk, Plagazi ",Transport,2023,,,,Planned,,9,9,Transport,Dedicated storage,Norvik Infrastructure CCS East (NICE),Europe
Cypress DAC Hub (LA),747,United States,"Battelle, Climeworks, Heirloom Carbon, CapturePoint",Capture,2023,,2027,,Planned,,0.683,0.683,DAC,Dedicated storage,Central Louisiana Regional Carbon Storage (CENLA) Hub (LA),North America
Carbon Capture on Air Liquide US Gulf Coast Steam Methane Reformer Using the CryocapTM FG Process (TX),748,United States,"Dastur International Inc., Air Liquide,University of Texas at Austin s Bureau of Economic Geology",Capture,2022,,,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,North America
Combined Carbon Capture Solution on Air Liquide Northern California Steam Methane Reformer (CA),749,United States,"Electricore Inc., Air Liquide",Capture,2022,,,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,North America
3D DMX ArcelorMittal and IFPEN Dunkirk 'REUZE',751,France,"ArcelorMittal, Engie, Infinium",CCU,2022,2025,2026,,Planned,1,0.3,0.3,Iron and steel,Use,,Europe
e-Alto,752,United Kingdom,"Velocys, Clariant Catalysts, Technip Energies, British Airways",CCU,2022,,,,Planned,,,,Biofuels,Use,,Europe
HIF Tasmania eFuels Facility (TAS),753,Australia,"HIF Asia Pacific, Technip (FEED), Forico (biomass supply)",CCU,2022,2025,2028,,Planned,,0.3,0.3,Power and heat,Use,,Australia and New Zealand
Asn s Power Station,756,Denmark,"Orsted, Aker Carbon Capture (tech), NCC (construction)",Capture,2022,2023,2026,,Under construction,,0.28,0.28,Power and heat,Dedicated storage,Kalundborg hub/Northern Lights,Europe
Aved re Power Station CCU (Green Fuels for Denmark),757,Denmark,Orsted,CCU,2021,,2026,,Cancelled,2,,,Power and heat,Use,,Europe
Ramba CCUS/EOR,760,Indonesia,Pertamina,Full chain,2022,,2032,,Planned,,,,Natural gas processing/LNG,EOR,,Other Asia Pacific
Central Sumatera Basin CCUS hub,761,Indonesia,"Pertamina, Mitsui ",Storage,2022,,2030,,Planned,,,,Storage,Dedicated storage,Central Sumatera Basin CCUS hub,Other Asia Pacific
Sunda Asri Basin CCUS hub,762,Indonesia,"Pertamina, ExxonMobil ",Storage,2022,,2030,,Planned,,,,Storage,Dedicated storage,Sunda Asri Basin CCUS hub,Other Asia Pacific
Gemah field EOR,764,Indonesia,"Petrochina (Daqing Petroleum Services), PT Gemilang Buana Utama",Storage,2022,2025,2031,,Planned,1,,,Storage,EOR,,Other Asia Pacific
Kutai Basin CCUS hub,765,Indonesia,Pertamina,Storage,2022,,2030,,Planned,,,,Storage,Dedicated storage,Kutai Basin CCUS hub,Other Asia Pacific
Fluxys Tournai-Zeebrugge,766,Belgium,"Fluxys, Heidelberg Materials",Transport,2023,,,,Planned,,,,Transport,Dedicated storage,Fluxys Tournai-Zeebrugge,Europe
Peak cluster transport,768,United Kingdom,"Progressive Energy, Breedon group",Transport,2023,,2030,,Planned,,3,3,Transport,Dedicated storage,Peak cluster transport/Morecambe Net Zero Cluster,Europe
Trailblazer CO2 pipeline,769,United States,Tallgrass energy,Transport,2022,,,,Planned,,10,10,Transport,Dedicated storage,Eastern Wyoming Sequestration Hub (WY),North America
Drax US BECCS plant 1,770,United States,Drax,Capture,2023,2026,2030,,Planned,,3,3,Power and heat,Dedicated storage,,North America
Drax US BECCS plant 2,771,United States,Drax,Capture,2023,2026,2030,,Planned,,3,3,Power and heat,Dedicated storage,,North America
STARFISH project (Havstjerne CO2 storage/Altera Stella Maris CCS Project Phase 1),772,Norway,"Altera (50%), Wintershall Dea (50%, Harbour Energy)",T&S,2020,,,,Planned,1,4.275,4.275,T&S,Dedicated storage,Altera Stella Maris CCS/ Havstjerne ,Europe
Ferrybridge EfW,773,United Kingdom,"Enfinium, Navigator CO2, Bechtel (feasibility)",Capture,2023,,2030,,Planned,1,1.2,1.2,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe
Navigator Terminal train,774,United Kingdom,"Enfinium, Navigator CO2, Bechtel (feasibility)",Transport,2023,,,,Planned,,,,Transport,Dedicated storage,Northern Endurance Partnership,Europe
Poseidon CO2 storage,775,Norway,"Aker BP (60%), OMV AS (4%)",Storage,2023,2025,,,Planned,,5,5,Storage,Dedicated storage,Poseidon CO2 storage,Europe
Joint study CCS value chain Japan Malaysia steel\,777,Japan-Malaysia,"Japan Petroleum Exploration Co., Ltd. (JAPEX), JGC Holdings Corporation (JGC HD), Kawasaki Kisen Kaisha, Ltd. ( K  LINE), JFE Steel Corporation, Petronas",Capture,2022,,,,Planned,,,,Iron and steel,Dedicated storage,M3 CCS Project/Eastern CCS Hub project,Other Asia Pacific
Fortum waste solutions Nyborg,779,Denmark,"Fortum waste solutions, Aker Carbon Capture (feasibility)",Capture,2023,,,,Planned,,0.17,0.17,Power and heat,Dedicated storage,,Europe
Project Ruby (Rodby) phase 1,784,Denmark,"CarbonCuts, bluenord (funding)",Storage,2022,2026,2030,,Planned,1,1,1,Storage,Dedicated storage,,Europe
Project Ruby (Rodby) phase 2,785,Denmark,"CarbonCuts, bluenord (funding)",Storage,2022,,,,Planned,2,9-Apr,6.5,Storage,Dedicated storage,,Europe
Stenlille project (CO2RYLUS),786,Denmark,Gas Storage Denmark,Storage,2022,,2026,,Planned,,0.5,0.5,Storage,Dedicated storage,,Europe
Yara Pilbara ammonia,788,Australia,"Yara, JERA",Capture,2021,,,,Planned,,,,Hydrogen or ammonia,Dedicated storage,Angel CCS,Australia and New Zealand
WAH2 Blue  Ammonia Project - phase 1,789,Australia,Hexagon Energy Materials ,Capture,2022,2025,2028,,Planned,1,0.25,0.25,Hydrogen or ammonia,Unknown/unspecified,,Australia and New Zealand
WAH2 Blue  Ammonia Project - phase 2,790,Australia,Hexagon Energy Materials ,Capture,2022,,,,Planned,2,0.55,0.55,Hydrogen or ammonia,Unknown/unspecified,,Australia and New Zealand
Pembina low carbon complex (AB),791,Canada,"Pembina Pipeline Corporation, Marubeni",Full chain,2023,,2027,,Planned,,,1.575,Hydrogen or ammonia,Dedicated storage,Alberta Carbon Grid (ALB),North America
CarbonSAFE Eos (CO),792,United States,"Colorado School of Mines, Carbon America, Los Alamos National Laboratory",Storage,2023,,,,Planned,,,,Storage,Dedicated storage,CarbonSAFE Eos (CO),North America
Magnolia sequestration hub (Allen Parish) (LA),793,United States,"1PointFive, Occidental",T&S,2020,,,,Planned,,4,4,T&S,Dedicated storage,Magnolia sequestration hub,North America
Longleaf CCS (AL),794,United States,"Tenaska, Southern States Energy Board",Storage,2023,2025,2026,,Planned,,2.6,2.6,Storage,Dedicated storage,Longleaf CCS (AL),North America
Timberland Sequestration project (AL),795,United States,"Timberlands Sequestration LLC, Alabama River Cellulose (ARC), Georgia Pacific LLC",Full chain,2023,,,,Planned,,2,2,Other industry,Dedicated storage,Timberland Sequestration project,North America
Illinois Basin West CarbonSAFE (IL),796,United States,University of Illinois,Storage,2023,,,,Planned,,1.67,1.67,Storage,Dedicated storage,Illinois Basin West CarbonSAFE (IL),North America
Sweetwater Carbon Storage Hub (WY),797,United States,"University of Wyoming, Frontier Carbon Solutions Holdings LLC ",Storage,2023,,,,Planned,,1.27,1.27,Storage,Dedicated storage,Sweetwater Carbon Storage Hub (WY),North America
Project WyoTCH pipeline (WY),798,United States,"Carbon Solutions LLC, Enhanced Oil Recovery Institute of University of Wyoming",Transport,2023,,,,Planned,,120,120,Transport,Unknown/unspecified,Wyoming Trails Carbon Hub,North America
Port of Corpus Christi-Mississippi pipeline (TX),799,United States,Howard Midstream Energy Partners LLC,Transport,2023,,,,Planned,,250,250,Transport,Unknown/unspecified,Port of Corpus Christi-Mississippi pipeline,North America
Houston-Galveston pipeline (TX),800,United States,Southern States Energy Board,Transport,2023,,,,Cancelled,,8,8,Transport,Unknown/unspecified,Houston-Galveston pipeline,North America
Nihon Shipyard Mistubishi Shipbuilding JV LCO2 carrier,802,Japan,"Mitsubishi Shipbuilding (Mitsubishi Heavy Industries (Mistubishi Heavy Industries)) Group,Nihon Shipyard Co.",Transport,2023,,2027,,Planned,,,,Transport,Unknown/unspecified,,Other Asia Pacific
Removr Carbfix Polar plant phase 2,803,Iceland,"Removr (Greencap 40%, Vanir Green Industries 60%), Carbfix",Full chain,2023,,2028,,Planned,2,0.05,0.05,DAC,Dedicated storage,,Europe
RWE CCGT Stallingborough,804,United Kingdom,"RWE, Technip Energies (pre-FEED)",Capture,2023,,2030,,Planned,,1.87,1.87,Power and heat,Dedicated storage,Viking CCS,Europe
Nucor Steel Convent plant (LA),805,United States,"Nucor, ExxonMobil",Capture,2023,,2026,,Planned,,0.8,0.8,Iron and steel,Dedicated storage,ExxonMobil Ascension Parish storage (TX),North America
ExxonMobil Vermilion parish storage: Pecan island (LA),806,United States,ExxonMobil,Storage,2022,,2026,,Planned,,5,5,Storage,Dedicated storage,ExxonMobil Vermilion parish storage: Pecan island (LA),North America
Aluminium Dunkerque feasibility study,809,France,"EDF, Aluminium Dunkerque, Trimet, Rio Tinto,  Fives",Capture,2021,,,,Planned,,0.24,0.24,Other industry,Unknown/unspecified,,Europe
Metropolitan Area CCS (capture sources under evaluation),810,Japan,"INPEX Corporation, Nippon Steel Corporation, Kanto Natural Gas Development Co., Ltd.",T&S,2023,,2030,,Planned,,1,1,T&S,Dedicated storage,Metropolitan Area CCS,Other Asia Pacific
Northern to Western Kyushu Offshore CCS (capture sources under evaluation),811,Japan,"ENEOS Corporation, JX Nippon Oil & Gas Exploration Corporation, Electric Power Development Co.,Ltd. (J-POWER)",T&S,2023,,2030,,Planned,,3,3,T&S,Dedicated storage,Northern to Western Kyushu Offshore CCS,Other Asia Pacific
Offshore Malay CCS (capture sources under evaluation),812,Japan-Malaysia,"Mitsui, TotalEnergies, PETRONAS",T&S,2023,,2030,,Planned,,2,2,T&S,Dedicated storage,Offshore Malay CCS,Other Asia Pacific
CEIC-CNPC CCUS-EOR demonstration (Ningxia) Phase 1,813,People's Republic of China,"CEIC, CNPC",Full chain,2023,2023,2025,,Under construction,1,0.4,0.4,Other fuel transformation,EOR,,Other Asia Pacific
Aemetis CCS (CA),814,United States,Aemetis Carbon Capture (Aemetis),Storage,2021,,2026,,Planned,,1.4 - 2,1.4,Storage,Dedicated storage,Aemetis CCS,North America
Pelican sequestration hub (Livingston Parish) (LA),815,United States,"1PointFive, Occidental",Storage,2022,,2026,,Planned,,6,6,Storage,Dedicated storage,EnLink midstream network/ Pelican sequestration hub,North America
ADM Decatur Campus CO2 Storage Site Expansion (IL),816,United States,ADM,T&S,2022,,2028,,Planned,2,2.95,2.95,T&S,Dedicated storage,ADM Decatur Campus CO2 Storage Site Expansion (IL),North America
Hydrogen to Humber (H2H) Saltend phase 2,818,United Kingdom,"Equinor, SSE Thermal",Capture,2020,,,,Planned,2,1,1,Hydrogen or ammonia,Dedicated storage,Northern Endurance Partnership,Europe
H2-gateway,819,Netherlands,"NHN, Gasterra, Gasunie, Port den Helder",Full chain,2020,,2030,,Planned,,,1.8,Hydrogen or ammonia,Dedicated storage,,Europe
VISION 2025,820,Greece,HELLENiQ ENERGY - Helpe,Capture,2021,,2030,,Planned,,0.6,0.6,Other fuel transformation,Unknown/unspecified,,Europe
Yara-BASF Gulf Coast,826,United States,"Yara, BASF",Capture,2023,,2028,,Planned,,,2.1,Hydrogen or ammonia,Unknown/unspecified,,North America
"Mote biomass-to-hydrogen plant, 2nd facility (CA)",829,United States,Mote,Capture,2023,,,,Planned,,0.45,0.45,Hydrogen or ammonia,Dedicated storage,,North America
